Year,Sector,Size_Category,Mass (Gt)
2021,Ross Sea Sector,>1000 km²,0.0
2021,Weddell Sea Sector,0-1 km²,209.51335549516799
2021,Weddell Sea Sector,1-10 km²,234.78828100570686
2021,Weddell Sea Sector,10-100 km²,358.2544937249887
2021,Weddell Sea Sector,100-1000 km²,788.9483859524375
2021,Weddell Sea Sector,>1000 km²,2140.63342391975
2021,Western Pacific Ocean Sector,0-1 km²,804.8442873518957
2021,Western Pacific Ocean Sector,1-10 km²,710.2015918650413
2021,Western Pacific Ocean Sector,10-100 km²,288.02851302858375
2021,Western Pacific Ocean Sector,100-1000 km²,436.1493850742375
2021,Western Pacific Ocean Sector,>1000 km²,0.0
2022,Amundsen and Bellingshausen Seas Sector,0-1 km²,369.02616877942813
2022,Amundsen and Bellingshausen Seas Sector,1-10 km²,471.90956601972647
2022,Amundsen and Bellingshausen Seas Sector,10-100 km²,207.40110489262375
2022,Amundsen and Bellingshausen Seas Sector,100-1000 km²,90.035038609325
2022,Amundsen and Bellingshausen Seas Sector,>1000 km²,615.3371885423749
2022,Indian Ocean Sector,0-1 km²,335.8847020460517
2022,Indian Ocean Sector,1-10 km²,226.15365605246637
2022,Indian Ocean Sector,10-100 km²,110.69256397906625
2022,Indian Ocean Sector,100-1000 km²,449.57941906254996
2022,Indian Ocean Sector,>1000 km²,758.8225363705
2022,Ross Sea Sector,0-1 km²,266.1297439572583
2022,Ross Sea Sector,1-10 km²,156.86232418278374
2022,Ross Sea Sector,10-100 km²,67.78386136460375
2022,Ross Sea Sector,100-1000 km²,0.0
2022,Ross Sea Sector,>1000 km²,0.0
2022,Weddell Sea Sector,0-1 km²,193.31012201358817
2022,Weddell Sea Sector,1-10 km²,198.53380210449737
2022,Weddell Sea Sector,10-100 km²,348.6463010643625
2022,Weddell Sea Sector,100-1000 km²,588.09931562065
2022,Weddell Sea Sector,>1000 km²,2366.958907217125
2022,Western Pacific Ocean Sector,0-1 km²,592.0103576002249
2022,Western Pacific Ocean Sector,1-10 km²,616.7601591335319
2022,Western Pacific Ocean Sector,10-100 km²,312.8848105268825
2022,Western Pacific Ocean Sector,100-1000 km²,283.823351350725
2022,Western Pacific Ocean Sector,>1000 km²,0.0
